الدين,الجنسيه,الحزب السياسي,الاسم
-,-,حزب الكتائب اللبنانية ,ألفرد نقاش 
-,-,-,-1
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,الكتلة الدستورية (مترجمه),بشارة الخوري 
-,-,"الحزب الليبرالي الوطني (مترجمه),الكتلة الدستورية (مترجمه)",كميل شمعون 
-,-,-,شارل دباس 
-,لبناني (مترجمه),-,شارل حلو 
-,-,,كونداليزا رايز 
-,-,الحزب الليبرالي الوطني (مترجمه),داني شمعون 
-,لبناني (مترجمه),مستقل (توضيح) ,إلياس الهراوي 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,مستقل (توضيح) ,فؤاد شهاب 
-,لبناني (مترجمه),التيار الوطني الحر ,جبران باسيل 
-,لبناني (مترجمه),-,جينيفيف الجميل 
-,-,جمهوري (مترجمه),جورج بوش الابن 
-,-,-,حبيب باشا السعد (مترجمه)
-,لبناني (مترجمه),-,-1
-,لبناني (مترجمه),-,كريم بقرادوني 
-,-,-,كوفي عنان 
-,-,التيار الوطني الحر ,ميشال عون 
-,-,مستقل (توضيح) ,ميشال سليمان 
-,-,-,بترو طراد 
-,-,حزب الكتائب اللبنانية ,بيار أمين الجميل 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,بيار الجميل 
-,-,حزب الكتائب اللبنانية ,بيار أمين الجميل 
-,الفرنسيون في لبنان ,-,الجندي أنطوان أوبوارد (مترجمه)
أهل السنة والجماعة ,لبناني وسعودي (مترجمه),تيار المستقبل ,رفيق الحريري 
-,لبناني (مترجمه),"مستقل (توضيح) ,مرتبط (مترجمه),الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية (مترجمه)",رشيد كرامي 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,قائمة عادية (مترجمه),صدام حسين 
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,سامي الجميل 
-,-,-,سليم الحص 
-,لبناني (مترجمه),مستقل (توضيح) ,شفيق الوزان 
-,-,تيار المردة ,سليمان فرنجية 
-,-,الحزب التقدمي الاشتراكي ,وليد جنبلاط 
-,لبناني (مترجمه),الشهابية (أيديولوجية) ,إلياس سركيس 
-,-,الكتلة الوطنية (توضيح) ,إميل إده 
-,-,الجيش اللبناني ,إميل لحود 
