اسم التقسيم,نوع التقسيم,الاسم
"لبنان ,علم (راية) ",بلد ,عدلون 
لبنان (مترجمه),بلد ,عنجر (مترجمه)
-,-,العراق 
"لبنان ,علم (راية) ",بلد ,بعلبك 
لبنان ,بلد ,بيروت 
لبنان ,بلد ,الضاحية الجنوبية (بيروت) 
-,-,مصر 
-,-,الاتحاد الأوروبي 
-,-,فرنسا 
"انظر وضع مرتفعات الجولان (مترجمه),الأراضي السورية (مترجمه),ثلثيها تحتلها إسرائيل (مترجمه),اعترفت الولايات المتحدة بالسيادة الإسرائيلية على الجولان في مارس/آذار الماضي، وتعد الولايات المتحدة أول دولة تعترف بالجولان كأرض إسرائيلية. (مترجمه),في حين أن بقية المجتمع الدولي لا يزال يعتبرها أرضاً سورية محتلة من قبل إسرائيل. (مترجمه)",حالة (مترجمه),هضبة الجولان 
"إسرائيل ,علَم (مترجمه)",بلد ,حيفا 
-,-,إيران 
-,-,العراق 
-,-,إسرائيل 
-,-,الاحتلال الإسرائيلي لجنوب لبنان 
-,-,الاحتلال الإسرائيلي لجنوب لبنان 
-,-,الأردن 
-,-,مصر 
-,-,العراق 
-,-,الكويت 
-,-,لبنان 
-,-,ليبيا 
-,-,المغرب 
الاستخبارات والمراقبة والتقييم (مترجمه),بلد ,نهاريا 
-,-,كوريا الشمالية 
-,-,الدولة العثمانية 
-,-,السلطة الوطنية الفلسطينية 
-,-,دولة فلسطين 
سوريا ,بلد ,منطقة مركز القنيطرة 
-,-,السعودية 
-,-,سوريا (توضيح) 
لبنان ,بلد ,صيدا 
-,-,الاحتلال الإسرائيلي لجنوب لبنان 
-,-,الاتحاد السوفيتي 
-,-,سوريا 
-,-,تونس 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
-,-,الإمارات العربية المتحدة 
-,-,الجمهورية العربية المتحدة 
-,-,المملكة المتحدة 
-,-,الولايات المتحدة 
-,-,اليمن 
