اسم التقسيم,نوع التقسيم,الاسم
"لبنان ,علم (راية) ",بلد ,عين الحلوة (مترجمه)
"لبنان ,علم (راية) ",بلد ,عاليه (لبنان) 
الاستخبارات والمراقبة والرصد (مترجمه),بلد ,أسدود 
-,-,العراق 
لبنان ,بلد ,بعبدا 
"لبنان ,علم (راية) ",بلد ,بعلبك 
-,-,باربادوس 
لبنان ,بلد ,بيروت 
"لبنان ,علم (راية) ",بلد ,قضاء الشوف 
لبنان (مترجمه),بلد ,الدامور 
-,-,جمهورية الدومينيكان 
-,-,مصر 
-,-,الاتحاد الأوروبي 
-,-,فرنسا 
-,-,جنوب لبنان 
لبنان ,بلد ,غبيري 
"اعترفت الولايات المتحدة بالسيادة الإسرائيلية على الجولان في مارس/آذار الماضي، وتعد الولايات المتحدة أول دولة تعترف بالجولان كأرض إسرائيلية. (مترجمه),في حين أن بقية المجتمع الدولي لا يزال يعتبرها أرضاً سورية محتلة من قبل إسرائيل. (مترجمه),الأراضي السورية (مترجمه),ثلثيها تحتلها إسرائيل (مترجمه),انظر وضع مرتفعات الجولان (مترجمه)",حالة (مترجمه),هضبة الجولان 
"علَم (مترجمه),إسرائيل ",بلد ,حيفا 
"لبنان ,علم (راية) ",بلد ,حاصبيا 
-,-,آيسلندا 
-,-,العراق 
-,-,إسرائيل 
-,-,الاحتلال الإسرائيلي لجنوب لبنان 
-,-,ساحل العاج 
لبنان (مترجمه),بلد ,جزين 
-,-,الأردن 
-,-,مصر 
-,-,العراق 
-,-,الكويت 
-,-,لبنان 
-,-,ليبيا 
-,-,لوكسمبورغ 
-,-,المغرب 
"لبنان ,علم الدولة (مترجمه)",بلد ,النبطية 
"لبنان ,علم الدولة (مترجمه)",بلد ,النبطية 
-,-,النيجر 
-,-,كوريا الشمالية 
-,-,السلطة الوطنية الفلسطينية 
-,-,بابوا غينيا الجديدة 
"لبنان ,علم الدولة (مترجمه)",بلد ,راشيا الفخار 
-,-,السعودية 
-,-,سوريا (توضيح) 
لبنان ,بلد ,صيدا 
-,-,الاحتلال الإسرائيلي لجنوب لبنان 
-,-,جمهورية اليمن الديمقراطية الشعبية 
-,-,الاتحاد السوفيتي 
-,-,جنوب لبنان 
-,-,سوريا 
لبنان (مترجمه),بلد ,الطيبة (المثلث) 
لبنان (مترجمه),بلد ,طرابلس (توضيح) 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
-,-,الإمارات العربية المتحدة 
-,-,الجمهورية العربية المتحدة 
-,-,المملكة المتحدة 
-,-,الولايات المتحدة 
-,-,اليمن 
-,-,اليمن الشمالي 
"لبنان ,علم (راية) ",بلد ,الزرارية 
