اسم التقسيم,نوع التقسيم,الاسم
لبنان ,بلد ,بيروت 
-,-,جنوب لبنان 
"الأراضي السورية (مترجمه),ثلثيها تحتلها إسرائيل (مترجمه),انظر وضع مرتفعات الجولان (مترجمه),اعترفت الولايات المتحدة بالسيادة الإسرائيلية على الجولان في مارس/آذار الماضي، وتعد الولايات المتحدة أول دولة تعترف بالجولان كأرض إسرائيلية. (مترجمه),في حين أن بقية المجتمع الدولي لا يزال يعتبرها أرضاً سورية محتلة من قبل إسرائيل. (مترجمه)",حالة (مترجمه),هضبة الجولان 
"علَم (مترجمه),إسرائيل ",بلد ,حيفا 
"لبنان ,علم (راية) ",بلد ,حاصبيا 
-,-,إسرائيل 
لبنان (مترجمه),بلد ,جزين 
"لبنان ,علم (راية) ",بلد ,قضاء جزين 
"لبنان ,علم (راية) ",بلد ,جبشيت 
-,-,لبنان 
لبنان (مترجمه),بلد ,مرجعيون 
إسرائيل ,بلد ,المطلة 
-,-,لبنان 
-,-,سوريا 
