Name,Subdivision type,Subdivision name
Beirut,Country,Lebanon
Southern Lebanon,-,-
Golan Heights,Status,"Syrian territory,two-thirds of which occupied by Israel efn,see Status of the Golan Heights efn,The United States recognized Israeli sovereignty over the Golan in March 2019. The US is the first country to recognize the Golan as Israeli territory,while the rest of the international community still considers it Syrian territory occupied by Israel."
Haifa,Country,"Flagu,Israel"
Hasbaya,Country,"Lebanon,Flag"
Israel,-,-
Jezzine,Country,LBN
Jezzine District,Country,"Lebanon,Flag"
Jebchit,Country,"Lebanon,Flag"
Lebanon,-,-
Marjayoun,Country,LBN
Metula,Country,Israel
Lebanon,-,-
Syria,-,-
-,Country,Israel
